id,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道
9000,1,50|55|60|75,5|5|5|5,2&5|1&4|1&5|1&1,0|0|0|1000,1,7000003,490000,490001,9000,1000
9001,1,100|110|120|150,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000013,490010,490011,9000,1000
9002,3,1350|1485|1620|2025,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000006,490020,490021,9002,2000
9003,3,1750|1925|2100|2625,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000011,490030,490031,9002,2000
9004,1,150|165|180|225,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000007,490040,490041,9000,1000
9005,2,600|660|720|900,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000011,490050,490051,9001,1500
9006,2,650|715|780|975,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000009,490060,490061,9001,1500
9007,2,600|660|720|900,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000007,490070,490071,9001,1500
9008,4,3900|4290|4680|5850,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000003,490080,490081,9003,2500
9009,2,550|605|660|825,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000005,490090,490091,9001,1500
9010,1,200|220|240|300,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000004,490100,490101,9000,1000
9011,1,450|495|540|675,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000007,490110,490111,9000,1000
9012,2,500|550|600|750,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000010,490120,490121,9001,1500
9013,1,150|165|180|225,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000009,490130,490131,9000,1000
9014,2,500|550|600|750,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000006,490140,490141,9001,1500
9015,3,1150|1265|1380|1725,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000013,490150,490151,9002,2000
9016,2,750|825|900|1125,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000012,490160,490161,9001,1500
9017,4,2400|2640|2880|3600,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000008,490170,490171,9003,2500
9018,5,10250|11275|12300|15375,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000009,490180,490181,9004,3000
9019,1,100|110|120|150,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000005,490190,490191,9000,1000
9020,4,2400|2640|2880|3600,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000010,490200,490201,9003,2500
9021,2,550|605|660|825,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000010,490210,490211,9001,1500
9022,1,50|55|60|75,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000010,490220,490221,9000,1000
9023,4,2650|2915|3180|3975,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000005,490230,490231,9003,2500
9024,1,150|165|180|225,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000005,490240,490241,9000,1000
9025,2,550|605|660|825,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000003,490250,490251,9001,1500
9026,3,1400|1540|1680|2100,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000007,490260,490261,9002,2000
9027,2,650|715|780|975,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000004,490270,490271,9001,1500
9028,5,8300|9130|9960|12450,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000005,490280,490281,9004,3000
9029,1,150|165|180|225,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000006,490290,490291,9000,1000
9030,1,150|165|180|225,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000010,490300,490301,9000,1000
9031,2,650|715|780|975,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000005,490310,490311,9001,1500
9032,4,3650|4015|4380|5475,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000013,490320,490321,9003,2500
9033,2,600|660|720|900,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000007,490330,490331,9001,1500
9034,3,1800|1980|2160|2700,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000006,490340,490341,9002,2000
9035,2,750|825|900|1125,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000006,490350,490351,9001,1500
9036,3,1450|1595|1740|2175,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000013,490360,490361,9002,2000
9037,4,3350|3685|4020|5025,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000009,490370,490371,9003,2500
9038,1,150|165|180|225,5|5|5|5,2&5|1&4|1&5|1&2,0|0|0|1000,1,7000012,490380,490381,9000,1000
9039,4,2950|3245|3540|4425,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000005,490390,490391,9003,2500
9040,3,1500|1650|1800|2250,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000013,490400,490401,9002,2000
9041,3,1600|1760|1920|2400,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000003,490410,490411,9002,2000
9042,4,2000|2200|2400|3000,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000005,490420,490421,9003,2500
9043,4,4650|5115|5580|6975,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000003,490430,490431,9003,2500
9044,2,800|880|960|1200,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000005,490440,490441,9001,1500
9045,5,7100|7810|8520|10650,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000009,490450,490451,9004,3000
9046,4,2350|2585|2820|3525,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000011,490460,490461,9003,2500
9047,4,3000|3300|3600|4500,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000007,490470,490471,9003,2500
9048,4,2350|2585|2820|3525,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000007,490480,490481,9003,2500
9049,2,650|715|780|975,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000011,490490,490491,9001,1500
9050,3,1600|1760|1920|2400,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000004,490500,490501,9002,2000
9051,3,2750|3025|3300|4125,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000007,490510,490511,9002,2000
9052,2,550|605|660|825,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000005,490520,490521,9001,1500
9053,4,3450|3795|4140|5175,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000011,490530,490531,9003,2500
9054,3,3100|3410|3720|4650,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000009,490540,490541,9002,2000
9055,3,1200|1320|1440|1800,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000005,490550,490551,9002,2000
9056,3,3300|3630|3960|4950,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000008,490560,490561,9002,2000
9057,3,850|935|1020|1275,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000005,490570,490571,9002,2000
9058,3,1450|1595|1740|2175,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000007,490580,490581,9002,2000
9059,3,1650|1815|1980|2475,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000003,490590,490591,9002,2000
9060,3,1200|1320|1440|1800,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000013,490600,490601,9002,2000
9061,4,2000|2200|2400|3000,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000013,490610,490611,9003,2500
9062,5,9050|9955|10860|13575,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000010,490620,490621,9004,3000
9063,3,1550|1705|1860|2325,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000012,490630,490631,9002,2000
9064,4,2550|2805|3060|3825,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000010,490640,490641,9003,2500
9065,3,1500|1650|1800|2250,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000004,490650,490651,9002,2000
9066,3,700|770|840|1050,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000003,490660,490661,9002,2000
9067,5,9350|10285|11220|14025,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000010,490670,490671,9004,3000
9068,5,8350|9185|10020|12525,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000005,490680,490681,9004,3000
9069,4,2450|2695|2940|3675,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000012,490690,490691,9003,2500
9070,4,2550|2805|3060|3825,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000009,490700,490701,9003,2500
9071,3,1700|1870|2040|2550,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000005,490710,490711,9002,2000
9072,4,4350|4785|5220|6525,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000007,490720,490721,9003,2500
9073,3,1350|1485|1620|2025,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000006,490730,490731,9002,2000
9074,3,1550|1705|1860|2325,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000006,490740,490741,9002,2000
9075,5,12350|13585|14820|18525,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000006,490750,490751,9004,3000
9076,5,5900|6490|7080|8850,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000006,490760,490761,9004,3000
9077,5,11500|12650|13800|17250,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000013,490770,490771,9004,3000
9078,5,9200|10120|11040|13800,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000005,490780,490781,9004,3000
9079,5,10500|11550|12600|15750,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000007,490790,490791,9004,3000
9080,4,3000|3300|3600|4500,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000011,490800,490801,9003,2500
9081,4,2800|3080|3360|4200,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000006,490810,490811,9003,2500
9082,5,10050|11055|12060|15075,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000004,490820,490821,9004,3000
9083,4,2250|2475|2700|3375,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000009,490830,490831,9003,2500
9084,5,9100|10010|10920|13650,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000005,490840,490841,9004,3000
9085,5,9550|10505|11460|14325,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000008,490850,490851,9004,3000
9086,3,1350|1485|1620|2025,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000006,490860,490861,9002,2000
9087,3,1850|2035|2220|2775,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000011,490870,490871,9002,2000
9088,4,2800|3080|3360|4200,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000007,490880,490881,9003,2500
9089,5,7650|8415|9180|11475,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000004,490890,490891,9004,3000
9090,5,10150|11165|12180|15225,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000007,490900,490901,9004,3000
9091,5,8300|9130|9960|12450,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000009,490910,490911,9004,3000
9092,5,10700|11770|12840|16050,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000004,490920,490921,9004,3000
9093,4,2600|2860|3120|3900,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000003,490930,490931,9003,2500
9094,4,2350|2585|2820|3525,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000009,490940,490941,9003,2500
9095,4,2900|3190|3480|4350,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000006,490950,490951,9003,2500
9096,4,1750|1925|2100|2625,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000006,490960,490961,9003,2500
9097,4,2550|2805|3060|3825,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000008,490970,490971,9003,2500
9098,5,7900|8690|9480|11850,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000013,490980,490981,9004,3000
9099,4,2650|2915|3180|3975,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000005,490990,490991,9003,2500
9100,5,10200|11220|12240|15300,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000007,491000,491001,9004,3000
9101,5,11750|12925|14100|17625,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000007,491010,491011,9004,3000
9102,4,2700|2970|3240|4050,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000010,491020,491021,9003,2500
9103,4,2250|2475|2700|3375,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000006,491030,491031,9003,2500
9104,5,11750|12925|14100|17625,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000006,491040,491041,9004,3000
9105,5,10650|11715|12780|15975,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000005,491050,491051,9004,3000
9106,5,12600|13860|15120|18900,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000006,491060,491061,9004,3000
9107,4,2650|2915|3180|3975,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000003,491070,491071,9003,2500
9108,5,9300|10230|11160|13950,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000006,491080,491081,9004,3000
9109,3,1500|1650|1800|2250,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000012,491090,491091,9002,2000
9110,5,10000|11000|12000|15000,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000013,491100,491101,9004,3000
9111,5,12850|14135|15420|19275,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000013,491110,491111,9004,3000
9112,5,9200|10120|11040|13800,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000013,491120,491121,9004,3000
9113,4,2700|2970|3240|4050,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000005,491130,491131,9003,2500
9114,5,10200|11220|12240|15300,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000011,491140,491141,9004,3000
9115,3,3150|3465|3780|4725,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000006,491150,491151,9002,2000
9116,4,4350|4785|5220|6525,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000003,491160,491161,9003,2500
9117,5,9300|10230|11160|13950,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000013,491170,491171,9004,3000
9118,4,3150|3465|3780|4725,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000007,491180,491181,9003,2500
9119,4,2550|2805|3060|3825,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000006,491190,491191,9003,2500
9120,5,8650|9515|10380|12975,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000005,491200,491201,9004,3000
9121,5,18000|19800|21600|27000,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000005,491210,491211,9004,3000
9122,5,11100|12210|13320|16650,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000008,491220,491221,9004,3000
9123,4,3050|3355|3660|4575,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000004,491230,491231,9003,2500
9124,5,13000|14300|15600|19500,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000009,491240,491241,9004,3000
9125,5,6600|7260|7920|9900,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000007,491250,491251,9004,3000
9126,2,600|660|720|900,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000006,491260,491261,9001,1500
9127,3,3700|4070|4440|5550,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000012,491270,491271,9002,2000
9128,2,550|605|660|825,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000005,491280,491281,9001,1500
9129,5,11400|12540|13680|17100,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000010,491290,491291,9004,3000
9130,5,12250|13475|14700|18375,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000013,491300,491301,9004,3000
9131,2,650|715|780|975,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000011,491310,491311,9001,1500
9132,5,10400|11440|12480|15600,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000011,491320,491321,9004,3000
9133,3,1700|1870|2040|2550,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000008,491330,491331,9002,2000
9134,3,2750|3025|3300|4125,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000012,491340,491341,9002,2000
9135,2,600|660|720|900,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000011,491350,491351,9001,1500
9136,2,600|660|720|900,7|7|7|7,2&5|1&4|1&5|1&2,0|0|0|1000,2,7000011,491360,491361,9001,1500
9137,4,3700|4070|4440|5550,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000011,491370,491371,9003,2500
9138,4,5500|6050|6600|8250,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000012,491380,491381,9003,2500
9139,5,17650|19415|21180|26475,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000009,491390,491391,9004,3000
9140,4,4250|4675|5100|6375,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000012,491400,491401,9003,2500
9141,5,17900|19690|21480|26850,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000005,491410,491411,9004,3000
9142,4,3050|3355|3660|4575,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000007,491420,491421,9003,2500
9143,4,3200|3520|3840|4800,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000005,491430,491431,9003,2500
9144,5,9000|9900|10800|13500,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000009,491440,491441,9004,3000
9145,4,4100|4510|4920|6150,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000009,491450,491451,9003,2500
9146,5,11400|12540|13680|17100,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000004,491460,491461,9004,3000
9147,4,2650|2915|3180|3975,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|1000,4,7000011,491470,491471,9003,2500
9148,3,1550|1705|1860|2325,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|1000,3,7000013,491480,491481,9002,2000
9149,5,12100|13310|14520|18150,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|1000,5,7000013,491490,491491,9004,3000
9800,4,16700|18370|20040|25050,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000007,498000,498001,9003,2500
9801,4,8600|9460|10320|12900,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000007,498010,498011,9003,2500
9802,5,51150|56265|61380|76725,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000011,498020,498021,9004,3000
9803,5,27400|30140|32880|41100,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000011,498030,498031,9004,3000
9804,4,23500|25850|28200|35250,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000005,498040,498041,9003,2500
9805,4,8650|9515|10380|12975,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000006,498050,498051,9003,2500
9806,5,33300|36630|39960|49950,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000008,498060,498061,9004,3000
9807,5,21250|23375|25500|31875,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000004,498070,498071,9004,3000
9808,5,35100|38610|42120|52650,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000013,498080,498081,9004,3000
9809,4,21050|23155|25260|31575,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000005,498090,498091,9003,2500
9810,5,42050|46255|50460|63075,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000013,498100,498101,9004,3000
9811,4,9850|10835|11820|14775,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000013,498110,498111,9003,2500
9812,5,35250|38775|42300|52875,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000013,498120,498121,9004,3000
9813,4,6600|7260|7920|9900,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000005,498130,498131,9003,2500
9814,5,27150|29865|32580|40725,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000013,498140,498141,9004,3000
9815,4,15100|16610|18120|22650,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000004,498150,498151,9003,2500
9816,4,24450|26895|29340|36675,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000004,498160,498161,9003,2500
9817,5,36300|39930|43560|54450,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000006,498170,498171,9004,3000
9818,4,15900|17490|19080|23850,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000004,498180,498181,9003,2500
9819,5,40950|45045|49140|61425,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000004,498190,498191,9004,3000
9820,4,8900|9790|10680|13350,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000004,498200,498201,9003,2500
9821,4,8400|9240|10080|12600,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000006,498210,498211,9003,2500
9822,5,36700|40370|44040|55050,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000006,498220,498221,9004,3000
9823,5,34850|38335|41820|52275,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000006,498230,498231,9004,3000
9824,5,49800|54780|59760|74700,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000006,498240,498241,9004,3000
9825,4,7550|8305|9060|11325,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000006,498250,498251,9003,2500
9826,5,30350|33385|36420|45525,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000007,498260,498261,9004,3000
9827,5,28800|31680|34560|43200,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000007,498270,498271,9004,3000
9828,3,5250|5775|6300|7875,10|10|10|10,2&5|1&4|1&5|1&2,0|0|0|100,3,7000013,498280,498281,9002,2000
9829,4,20300|22330|24360|30450,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000013,498290,498291,9003,2500
9830,4,19850|21835|23820|29775,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000006,498300,498301,9003,2500
9831,5,33050|36355|39660|49575,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000006,498310,498311,9004,3000
9832,5,28350|31185|34020|42525,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000006,498320,498321,9004,3000
9833,4,13500|14850|16200|20250,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000006,498330,498331,9003,2500
9834,5,29350|32285|35220|44025,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000006,498340,498341,9004,3000
9835,4,8500|9350|10200|12750,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000007,498350,498351,9003,2500
9836,4,8350|9185|10020|12525,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000006,498360,498361,9003,2500
9837,4,15350|16885|18420|23025,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000006,498370,498371,9003,2500
9838,4,11450|12595|13740|17175,12|12|12|12,2&5|1&4|1&5|1&2,0|0|0|100,4,7000006,498380,498381,9003,2500
9839,5,43050|47355|51660|64575,15|15|15|15,2&5|1&4|1&5|1&2,0|0|0|100,5,7000006,498390,498391,9004,3000
